検査日時,実施数,陽性数,陰性数
2020年3月23日,3,2,1
2020年3月24日,4,0,4
2020年3月25日,16,4,12
2020年3月26日,12,0,12
2020年3月27日,7,0,7
2020年3月28日,6,1,5
2020年3月29日,3,0,3
2020年3月30日,6,1,5
2020年3月31日,9,0,9
2020年4月1日,11,0,11
2020年4月2日,10,1,9
2020年4月3日,20,2,18
2020年4月4日,24,0,24
2020年4月6日,24,0,24
2020年4月7日,24,1,23
2020年4月8日,3,0,3
2020年4月9日,28,2,26
2020年4月10日,35,3,32
2020年4月11日,39,5,34
2020年4月12日,14,0,14
2020年4月13日,26,0,26
2020年4月14日,21,0,21
2020年4月15日,17,0,17
2020年4月16日,25,0,25
2020年4月17日,18,0,18
2020年4月18日,15,0,15
2020年4月20日,7,0,7
2020年4月21日,17,0,17
2020年4月22日,10,0,10
2020年4月23日,13,0,13
2020年4月24日,7,0,7
2020年4月25日,11,0,11
2020年4月27日,9,1,8
2020年4月28日,56,3,53
2020年4月29日,31,0,31
2020年4月30日,17,0,17
2020年5月1日,8,0,8
2020年5月2日,6,0,6
2020年5月4日,4,0,4
2020年5月6日,4,0,4
2020年5月7日,14,1,13
2020年5月8日,21,0,21
2020年5月9日,11,0,11
2020年5月11日,7,0,7
2020年5月12日,9,0,9
2020年5月13日,8,0,8
2020年5月14日,13,0,13
2020年5月15日,3,0,3
