年月日,現在患者数,現在患者数.前日比.,入院患者,入院患者.前日比.,宿泊療養施設入所者,宿泊療養施設入所者.前日比.,自宅療養者,自宅療養者.前日比.,施設療養者,施設療養者.前日比.,調整中,調整中.前日比.,確保病床数,確保病床数.うち重症.,備考
2020-01-28,1,0,,,,,,,,,,,,,""
2020-01-29,1,0,,,,,,,,,,,,,""
2020-01-30,1,0,,,,,,,,,,,,,""
2020-01-31,1,0,,,,,,,,,,,,,""
2020-02-01,1,0,,,,,,,,,,,,,""
2020-02-02,1,0,,,,,,,,,,,,,""
2020-02-03,1,0,,,,,,,,,,,,,""
2020-02-04,1,0,,,,,,,,,,,,,""
2020-02-05,1,0,,,,,,,,,,,,,""
2020-02-06,1,0,,,,,,,,,,,,,""
2020-02-07,1,0,,,,,,,,,,,,,""
2020-02-08,1,0,,,,,,,,,,,,,""
2020-02-09,1,0,,,,,,,,,,,,,""
2020-02-10,1,0,,,,,,,,,,,,,""
2020-02-11,1,0,,,,,,,,,,,,,""
2020-02-12,0,-1,,,,,,,,,,,,,""
2020-02-13,0,0,,,,,,,,,,,,,""
2020-02-14,1,1,,,,,,,,,,,,,""
2020-02-15,1,0,,,,,,,,,,,,,""
2020-02-16,1,0,,,,,,,,,,,,,""
2020-02-17,1,0,,,,,,,,,,,,,""
2020-02-18,1,0,,,,,,,,,,,,,""
2020-02-19,3,2,,,,,,,,,,,,,""
2020-02-20,4,1,,,,,,,,,,,,,""
2020-02-21,7,3,,,,,,,,,,,,,""
2020-02-22,16,9,,,,,,,,,,,,,""
2020-02-23,25,9,,,,,,,,,,,,,""
2020-02-24,29,4,,,,,,,,,,,,,""
2020-02-25,33,4,,,,,,,,,,,,,""
2020-02-26,37,4,,,,,,,,,,,,,""
2020-02-27,51,14,,,,,,,,,,,,,""
2020-02-28,62,11,,,,,,,,,,,,,""
2020-02-29,65,3,,,,,,,,,,,,,""
2020-03-01,61,-4,,,,,,,,,,,,,""
2020-03-02,62,1,,,,,,,,,,,,,""
2020-03-03,55,-7,,,,,,,,,,,,,""
2020-03-04,57,2,,,,,,,,,,,,,""
2020-03-05,54,-3,,,,,,,,,,,,,""
2020-03-06,55,1,,,,,,,,,,,,,""
2020-03-07,61,6,,,,,,,,,,,,,""
2020-03-08,57,-4,,,,,,,,,,,,,""
2020-03-09,62,5,,,,,,,,,,,,,""
2020-03-10,59,-3,,,,,,,,,,,,,""
2020-03-11,62,3,,,,,,,,,,,,,""
2020-03-12,71,9,,,,,,,,,,,,,""
2020-03-13,78,7,,,,,,,,,,,,,""
2020-03-14,82,4,,,,,,,,,,,,,""
2020-03-15,82,0,,,,,,,,,,,,,""
2020-03-16,80,-2,,,,,,,,,,,,,""
2020-03-17,74,-6,,,,,,,,,,,,,""
2020-03-18,75,1,,,,,,,,,,,,,""
2020-03-19,70,-5,,,,,,,,,,,,,""
2020-03-20,68,-2,,,,,,,,,,,,,""
2020-03-21,66,-2,,,,,,,,,,,,,""
2020-03-22,60,-6,,,,,,,,,,,,,""
2020-03-23,59,-1,,,,,,,,,,,,,""
2020-03-24,57,-2,,,,,,,,,,,,,""
2020-03-25,55,-2,,,,,,,,,,,,,""
2020-03-26,40,-15,,,,,,,,,,,,,""
2020-03-27,39,-1,,,,,,,,,,,,,""
2020-03-28,41,2,,,,,,,,,,,,,""
2020-03-29,44,3,,,,,,,,,,,,,""
2020-03-30,39,-5,,,,,,,,,,,,,""
2020-03-31,38,-1,,,,,,,,,,,,,""
2020-04-01,42,4,,,,,,,,,,,,,""
2020-04-02,42,0,,,,,,,,,,,,,""
2020-04-03,43,1,,,,,,,,,,,,,""
2020-04-04,43,0,,,,,,,,,,,,,""
2020-04-05,44,1,,,,,,,,,,,,,""
2020-04-06,42,-2,,,,,,,,,,,,,""
2020-04-07,46,4,,,,,,,,,,,,,""
2020-04-08,53,7,,,,,,,,,,,,,""
2020-04-09,67,14,,,,,,,,,,,,,""
2020-04-10,70,3,,,,,,,,,,,,,""
2020-04-11,86,16,,,,,,,,,,,,,""
2020-04-12,95,9,,,,,,,,,,,,,""
2020-04-13,100,5,,,,,,,,,,,,,""
2020-04-14,116,16,,,,,,,,,,,,,""
2020-04-15,135,19,,,,,,,,,,,,,""
2020-04-16,151,16,,,,,,,,,,,,,""
2020-04-17,176,25,,,,,,,,,,,,,""
2020-04-18,212,36,,,,,,,,,,,,,""
2020-04-19,237,25,,,,,,,,,,,,,""
2020-04-20,245,8,,,,,,,,,,,,,""
2020-04-21,261,16,,,,,,,,,,,,,""
2020-04-22,273,12,,,,,,,,,,,,,""
2020-04-23,312,39,,,,,,,,,,,,,""
2020-04-24,325,13,,,,,,,,,,,,,""
2020-04-25,359,34,,,,,,,,,,,,,""
2020-04-26,365,6,,,,,,,,,,,,,""
2020-04-27,398,33,,,,,,,,,,,,,""
2020-04-28,423,25,,,,,,,,,,,,,""
2020-04-29,456,33,,,,,,,,,,,,,""
2020-04-30,485,29,,,,,,,,,,,,,""
2020-05-01,493,8,,,,,,,,,,,,,""
2020-05-02,499,6,,,,,,,,,,,,,""
2020-05-03,494,-5,,,,,,,,,,,,,""
2020-05-04,485,-9,,,,,,,,,,,,,""
2020-05-05,490,5,,,,,,,,,,,,,""
2020-05-06,490,0,,,,,,,,,,,,,""
2020-05-07,487,-3,,,,,,,,,,,,,""
2020-05-08,462,-25,,,,,,,,,,,,,""
2020-05-09,450,-12,,,,,,,,,,,,,""
2020-05-10,439,-11,,,,,,,,,,,,,""
2020-05-11,432,-7,,,,,,,,,,,,,""
2020-05-12,409,-23,,,,,,,,,,,,,""
2020-05-13,394,-15,,,,,,,,,,,,,""
2020-05-14,389,-5,,,,,,,,,,,,,""
2020-05-15,366,-23,,,,,,,,,,,,,""
2020-05-16,343,-23,,,,,,,,,,,,,""
2020-05-17,338,-5,,,,,,,,,,,,,""
2020-05-18,319,-19,,,,,,,,,,,,,""
2020-05-19,299,-20,,,,,,,,,,,,,""
2020-05-20,273,-26,,,,,,,,,,,,,""
2020-05-21,260,-13,,,,,,,,,,,,,""
2020-05-22,242,-18,,,,,,,,,,,,,""
2020-05-23,235,-7,,,,,,,,,,,,,""
2020-05-24,239,4,,,,,,,,,,,,,""
2020-05-25,238,-1,,,,,,,,,,,,,""
2020-05-26,227,-11,,,,,,,,,,,,,""
2020-05-27,223,-4,,,,,,,,,,,,,""
2020-05-28,222,-1,,,,,,,,,,,,,""
2020-05-29,212,-10,,,,,,,,,,,,,""
2020-05-30,200,-12,,,,,,,,,,,,,""
2020-05-31,195,-5,,,,,,,,,,,,,""
2020-06-01,197,2,,,,,,,,,,,,,""
2020-06-02,191,-6,,,,,,,,,,,,,""
2020-06-03,183,-8,,,,,,,,,,,,,""
2020-06-04,166,-17,,,,,,,,,,,,,""
2020-06-05,156,-10,,,,,,,,,,,,,""
2020-06-06,158,2,,,,,,,,,,,,,""
2020-06-07,150,-8,,,,,,,,,,,,,""
2020-06-08,146,-4,,,,,,,,,,,,,""
2020-06-09,135,-11,,,,,,,,,,,,,""
2020-06-10,125,-10,,,,,,,,,,,,,""
2020-06-11,122,-3,,,,,,,,,,,,,""
2020-06-12,120,-2,,,,,,,,,,,,,""
2020-06-13,122,2,,,,,,,,,,,,,""
2020-06-14,123,1,,,,,,,,,,,,,""
2020-06-15,126,3,,,,,,,,,,,,,""
2020-06-16,116,-10,,,,,,,,,,,,,""
2020-06-17,115,-1,,,,,,,,,,,,,""
2020-06-18,108,-7,,,,,,,,,,,,,""
2020-06-19,97,-11,,,,,,,,,,,,,""
2020-06-20,95,-2,,,,,,,,,,,,,""
2020-06-21,92,-3,,,,,,,,,,,,,""
2020-06-22,93,1,,,,,,,,,,,,,""
2020-06-23,83,-10,,,,,,,,,,,,,""
2020-06-24,84,1,,,,,,,,,,,,,""
2020-06-25,86,2,,,,,,,,,,,,,""
2020-06-26,79,-7,,,,,,,,,,,,,""
2020-06-27,75,-4,,,,,,,,,,,,,""
2020-06-28,86,11,,,,,,,,,,,,,""
2020-06-29,97,11,,,,,,,,,,,,,""
2020-06-30,103,6,,,,,,,,,,,,,""
2020-07-01,95,-8,85,,10,,,,,,,,,,""
2020-07-02,97,2,87,2,10,0,,,,,,,,,""
2020-07-03,94,-3,84,-3,10,0,,,,,,,,,""
2020-07-04,87,-7,77,-7,10,0,,,,,,,,,""
2020-07-05,83,-4,75,-2,8,-2,,,,,,,,,""
2020-07-06,78,-5,71,-4,7,-1,,,,,,,,,""
2020-07-07,71,-7,65,-6,6,-1,,,,,,,,,""
2020-07-08,61,-10,58,-7,3,-3,,,,,,,,,""
2020-07-09,56,-5,53,-5,3,0,,,,,,,,,""
2020-07-10,62,6,58,5,4,1,,,,,,,,,""
2020-07-11,59,-3,54,-4,5,1,,,,,,,,,""
2020-07-12,61,2,56,2,5,0,,,,,,,,,""
2020-07-13,62,1,57,1,5,0,,,,,,,,,""
2020-07-14,66,4,57,0,9,4,,,,,,,,,""
2020-07-15,76,10,63,6,13,4,,,,,,,,,""
2020-07-16,80,4,60,-3,20,7,,,,,,,,,""
2020-07-17,75,-5,56,-4,19,-1,,,,,,,,,""
2020-07-18,81,6,61,5,20,1,,,,,,,,,""
2020-07-19,88,7,65,4,23,3,,,,,,,,,""
2020-07-20,85,-3,64,-1,21,-2,,,,,,,,,""
2020-07-21,88,3,62,-2,26,5,,,,,,,,,""
2020-07-22,90,2,65,3,25,-1,,,,,,,,,""
2020-07-23,87,-3,63,-2,24,-1,,,,,,,,,""
2020-07-24,86,-1,59,-4,27,3,,,,,,,,,""
2020-07-25,92,6,62,3,30,3,,,,,,,,,""
2020-07-26,92,0,64,2,28,-2,,,,,,,,,""
2020-07-27,91,-1,63,-1,28,0,,,,,,,,,""
2020-07-28,82,-9,57,-6,25,-3,,,,,,,,,""
2020-07-29,86,4,62,5,24,-1,,,,,,,,,""
2020-07-30,73,-13,49,-13,24,0,,,,,,,,,""
2020-07-31,82,9,57,8,25,1,,,,,,,,,""
2020-08-01,96,14,66,9,30,5,,,,,,,,,""
2020-08-02,100,4,65,-1,35,5,,,,,,,,,""
2020-08-03,114,14,77,12,37,2,,,,,,,,,""
2020-08-04,123,9,86,9,37,0,,,,,,,,,""
2020-08-05,127,4,89,3,38,1,,,,,,,,,""
2020-08-06,120,-7,85,-4,35,-3,,,,,,,,,""
2020-08-07,128,8,95,10,33,-2,,,,,,,,,""
2020-08-08,126,-2,94,-1,32,-1,,,,,,,,,""
2020-08-09,133,7,98,4,35,3,,,,,,,,,""
2020-08-10,142,9,102,4,40,5,,,,,,,,,""
2020-08-11,153,11,103,1,50,10,,,,,,,,,""
2020-08-12,146,-7,98,-5,48,-2,,,,,,,,,""
2020-08-13,142,-4,104,6,38,-10,,,,,,,,,""
2020-08-14,134,-8,93,-11,41,3,,,,,,,,,""
2020-08-15,137,3,100,7,37,-4,,,,,,,,,""
2020-08-16,136,-1,98,-2,38,1,,,,,,,,,""
2020-08-17,129,-7,100,2,29,-9,,,,,,,,,""
2020-08-18,128,-1,99,-1,29,0,,,,,,,,,""
2020-08-19,114,-14,92,-7,22,-7,,,,,,,,,""
2020-08-20,111,-3,90,-2,21,-1,,,,,,,,,""
2020-08-21,115,4,86,-4,29,8,,,,,,,,,""
2020-08-22,130,15,98,12,32,3,,,,,,,,,""
2020-08-23,137,7,100,2,37,5,,,,,,,,,""
2020-08-24,141,4,106,6,35,-2,,,,,,,,,""
2020-08-25,136,-5,104,-2,32,-3,,,,,,,,,""
2020-08-26,132,-4,100,-4,32,0,,,,,,,,,""
2020-08-27,129,-3,106,6,23,-9,,,,,,,,,""
2020-08-28,130,1,104,-2,26,3,,,,,,,,,""
2020-08-29,133,3,107,3,26,0,,,,,,,,,""
2020-08-30,130,-3,105,-2,25,-1,,,,,,,,,""
2020-08-31,120,-10,99,-6,21,-4,,,,,,,,,""
2020-09-01,127,7,99,0,28,7,,,,,,,,,""
2020-09-02,121,-6,89,-10,32,4,,,,,,,,,""
2020-09-03,111,-10,82,-7,29,-3,,,,,,,,,""
2020-09-04,103,-8,72,-10,31,2,,,,,,,,,""
2020-09-05,96,-7,71,-1,25,-6,,,,,,,,,""
2020-09-06,82,-14,58,-13,24,-1,,,,,,,,,""
2020-09-07,85,3,60,2,25,1,,,,,,,,,""
2020-09-08,81,-4,53,-7,28,3,,,,,,,,,""
2020-09-09,74,-7,46,-7,28,0,,,,,,,,,""
2020-09-10,75,1,49,3,26,-2,,,,,,,,,""
2020-09-11,64,-11,40,-9,24,-2,,,,,,,,,""
2020-09-12,62,-2,39,-1,23,-1,,,,,,,,,""
2020-09-13,60,-2,40,1,20,-3,,,,,,,,,""
2020-09-14,61,1,40,0,21,1,,,,,,,,,""
2020-09-15,62,1,40,0,22,1,,,,,,,,,""
2020-09-16,62,0,38,-2,24,2,,,,,,,,,""
2020-09-17,62,0,37,-1,25,1,,,,,,,,,""
2020-09-18,76,14,43,6,33,8,,,,,,,,,""
2020-09-19,85,9,42,-1,43,10,,,,,,,,,""
2020-09-20,98,13,50,8,48,5,,,,,,,,,""
2020-09-21,108,10,53,3,55,7,,,,,,,,,""
2020-09-22,109,1,62,9,47,-8,,,,,,,,,""
2020-09-23,105,-4,67,5,38,-9,,,,,,,,,""
2020-09-24,97,-8,57,-10,40,2,,,,,,,,,""
2020-09-25,111,14,69,12,42,2,,,,,,,,,""
2020-09-26,110,-1,69,0,41,-1,,,,,,,,,""
2020-09-27,120,10,77,8,43,2,,,,,,,,,""
2020-09-28,126,6,77,0,49,6,,,,,,,,,""
2020-09-29,136,10,86,9,50,1,,,,,,,,,""
2020-09-30,138,2,86,0,52,2,,,,,,,,,""
2020-10-01,138,0,96,10,42,-10,,,,,,,,,""
2020-10-02,135,-3,94,-2,41,-1,,,,,,,,,""
2020-10-03,136,1,94,0,42,1,,,,,,,,,""
2020-10-04,148,12,104,10,44,2,,,,,,,,,""
2020-10-05,173,25,112,8,61,17,,,,,,,,,""
2020-10-06,174,1,110,-2,64,3,,,,,,,,,""
2020-10-07,196,22,110,0,86,22,,,,,,,,,""
2020-10-08,198,2,114,4,84,-2,,,,,,,,,""
2020-10-09,204,6,121,7,83,-1,,,,,,,,,""
2020-10-10,211,7,120,-1,91,8,,,,,,,,,""
2020-10-11,221,10,120,0,101,10,,,,,,,,,""
2020-10-12,210,-11,116,-4,94,-7,,,,,,,,,""
2020-10-13,207,-3,121,5,86,-8,,,,,,,,,""
2020-10-14,194,-13,109,-12,85,-1,,,,,,,,,""
2020-10-15,187,-7,102,-7,85,0,,,,,,,,,""
2020-10-16,199,12,105,3,94,9,,,,,,,,,""
2020-10-17,211,12,107,2,104,10,,,,,,,,,""
2020-10-18,213,2,102,-5,111,7,,,,,,,,,""
2020-10-19,205,-8,105,3,100,-11,,,,,,,,,""
2020-10-20,216,11,110,5,106,6,,,,,,,,,""
2020-10-21,217,1,117,7,100,-6,,,,,,,,,""
2020-10-22,235,18,122,5,113,13,,,,,,,,,""
2020-10-23,260,25,124,2,136,23,,,,,,,,,""
2020-10-24,292,32,138,14,154,18,,,,,,,,,""
2020-10-25,311,19,145,7,166,12,,,,,,,,,""
2020-10-26,343,32,150,5,193,27,,,,,,,,,""
2020-10-27,331,-12,151,1,180,-13,,,,,,,,,""
2020-10-28,362,31,158,7,204,24,,,,,,,,,""
2020-10-29,383,21,163,5,220,16,,,,,,,,,""
2020-10-30,408,25,174,11,234,14,,,,,,,,,""
2020-10-31,446,38,182,8,264,30,,,,,,,,,""
2020-11-01,492,46,186,4,306,42,,,,,,,,,""
2020-11-02,545,53,198,12,347,41,,,,,,,,,""
2020-11-03,570,25,215,17,355,8,,,,,,,,,""
2020-11-04,608,38,231,16,377,22,,,,,,,,,""
2020-11-05,674,66,285,54,389,12,,,,,,,,,""
2020-11-06,713,39,314,29,399,10,,,,,,,,,""
2020-11-07,849,136,337,23,432,33,,,,,80,,,,""
2020-11-08,976,127,376,39,453,21,,,,,147,67,,,""
2020-11-09,1094,118,382,6,513,60,,,,,199,52,,,""
2020-11-10,1160,66,434,52,508,-5,60,,,,158,-41,,,""
2020-11-11,1288,128,494,60,520,12,113,53,,,161,3,,,""
2020-11-12,1455,167,517,23,557,37,158,45,,,223,62,,,""
2020-11-13,1608,153,600,83,614,57,198,40,,,196,-27,,,""
2020-11-14,1719,111,658,58,652,38,233,35,,,176,-20,,,""
2020-11-15,1842,123,674,16,690,38,269,36,,,209,33,,,""
2020-11-16,1916,74,686,12,699,9,277,8,,,254,45,,,""
2020-11-17,1903,-13,693,7,708,9,257,-20,,,245,-9,,,""
2020-11-18,1943,40,705,12,710,2,259,2,,,269,24,,,""
2020-11-19,1993,50,718,13,716,6,275,16,,,284,15,,,""
2020-11-20,2113,120,769,51,729,13,288,13,,,327,43,,,""
2020-11-21,2143,30,793,24,761,32,298,10,,,291,-36,,,""
2020-11-22,2214,71,798,5,785,24,333,35,,,298,7,,,""
2020-11-23,2307,93,807,9,811,26,332,-1,,,357,59,,,""
2020-11-24,2359,52,845,38,819,8,334,2,,,361,4,,,""
2020-11-25,2300,-59,843,-2,808,-11,368,34,,,281,-80,,,""
2020-11-26,2248,-52,847,4,782,-26,349,-19,,,270,-11,,,""
2020-11-27,2269,21,860,13,787,5,364,15,,,258,-12,,,""
2020-11-28,2375,106,885,25,799,12,393,29,,,298,40,,,""
2020-11-29,2323,-52,915,30,764,-35,373,-20,,,271,-27,,,""
2020-11-30,2281,-42,932,17,725,-39,382,9,,,242,-29,,,""
2020-12-01,2279,-2,935,3,678,-47,397,15,,,269,27,,,""
2020-12-02,2171,-108,933,-2,590,-88,382,-15,,,266,-3,,,""
2020-12-03,2172,1,938,5,561,-29,403,21,,,270,4,,,""
2020-12-04,2163,-9,950,12,528,-33,412,9,,,273,3,,,""
2020-12-05,2217,54,955,5,532,4,437,25,,,293,20,,,""
2020-12-06,2237,20,993,38,530,-2,456,19,,,258,-35,,,""
2020-12-07,2261,24,998,5,536,6,463,7,,,264,6,,,""
2020-12-08,2248,-13,998,0,514,-22,467,4,,,269,5,,,""
2020-12-09,2252,4,996,-2,517,3,476,9,,,263,-6,,,""
2020-12-10,2274,22,997,1,522,5,482,6,,,273,10,,,""
2020-12-11,2221,-53,983,-14,515,-7,458,-24,,,265,-8,,,""
2020-12-12,2226,5,982,-1,510,-5,464,6,,,270,5,,,""
2020-12-13,2282,56,996,14,519,9,479,15,,,288,18,,,""
2020-12-14,2243,-39,997,1,487,-32,469,-10,,,290,2,,,""
2020-12-15,2183,-60,992,-5,452,-35,457,-12,,,282,-8,,,""
2020-12-16,2011,-172,974,-18,380,-72,396,-61,,,261,-21,,,""
2020-12-17,1938,-73,962,-12,333,-47,389,-7,,,254,-7,,,""
2020-12-18,1886,-52,974,12,289,-44,384,-5,,,239,-15,,,""
2020-12-19,1825,-61,940,-34,264,-25,394,10,,,227,-12,,,""
2020-12-20,1881,56,968,28,257,-7,408,14,,,248,21,,,""
2020-12-21,1848,-33,970,2,264,7,402,-6,,,212,-36,,,""
2020-12-22,1750,-98,926,-44,256,-8,411,9,,,157,-55,,,""
2020-12-23,1666,-84,885,-41,242,-14,388,-23,,,151,-6,,,""
2020-12-24,1632,-34,874,-11,249,7,374,-14,,,135,-16,,,""
2020-12-25,1579,-53,836,-38,240,-9,368,-6,,,135,0,,,""
2020-12-26,1598,19,814,-22,242,2,400,32,,,142,7,,,""
2020-12-27,1621,23,842,28,253,11,394,-6,,,132,-10,,,""
2020-12-28,1628,7,846,4,241,-12,413,19,,,128,-4,,,""
2020-12-29,1591,-37,817,-29,227,-14,420,7,,,127,-1,,,""
2020-12-30,1659,68,852,35,228,1,428,8,,,151,24,,,""
2020-12-31,1680,21,857,5,246,18,407,-21,,,170,19,,,""
2021-01-01,1666,-14,829,-28,249,3,411,4,,,177,7,,,""
2021-01-02,1691,25,849,20,261,12,411,0,,,170,-7,,,""
2021-01-03,1692,1,855,6,255,-6,434,23,,,148,-22,,,""
2021-01-04,1704,12,860,5,246,-9,434,0,,,164,16,,,""
2021-01-05,1607,-97,835,-25,240,-6,393,-41,,,139,-25,,,""
2021-01-06,1465,-142,748,-87,233,-7,353,-40,,,131,-8,,,""
2021-01-07,1419,-46,680,-68,238,5,354,1,,,147,16,,,""
2021-01-08,1360,-59,675,-5,270,32,284,-70,,,131,-16,,,""
2021-01-09,1456,96,700,25,299,29,294,10,,,163,32,,,""
2021-01-10,1519,63,722,22,365,66,268,-26,,,164,1,,,""
2021-01-11,1574,55,752,30,392,27,271,3,,,159,-5,,,""
2021-01-12,1588,14,725,-27,397,5,304,33,,,162,3,,,""
2021-01-13,1524,-64,687,-38,403,6,289,-15,,,145,-17,,,""
2021-01-14,1578,54,694,7,411,8,302,13,,,171,26,,,""
2021-01-15,1631,53,700,6,410,-1,334,32,,,187,16,,,""
2021-01-16,1716,85,746,46,438,28,332,-2,,,200,13,,,""
2021-01-17,1720,4,754,8,467,29,308,-24,,,191,-9,,,""
2021-01-18,1708,-12,740,-14,450,-17,330,22,,,188,-3,,,""
2021-01-19,1623,-85,708,-32,425,-25,326,-4,,,164,-24,,,""
2021-01-20,1647,24,730,22,380,-45,336,10,,,201,37,,,""
2021-01-21,1599,-48,756,26,376,-4,279,-57,,,188,-13,,,""
2021-01-22,1514,-85,713,-43,365,-11,264,-15,,,172,-16,,,""
2021-01-23,1502,-12,721,8,339,-26,260,-4,,,182,10,,,""
2021-01-24,1484,-18,738,17,335,-4,240,-20,,,171,-11,,,""
2021-01-25,1476,-8,754,16,322,-13,223,-17,,,177,6,,,""
2021-01-26,1383,-93,704,-50,307,-15,204,-19,,,168,-9,,,""
2021-01-27,1373,-10,697,-7,310,3,202,-2,,,164,-4,,,""
2021-01-28,1334,-39,692,-5,327,17,188,-14,,,127,-37,,,""
2021-01-29,1343,9,679,-13,363,36,179,-9,,,122,-5,,,""
2021-01-30,1344,1,666,-13,360,-3,191,12,,,127,5,,,""
2021-01-31,1364,20,672,6,359,-1,177,-14,,,156,29,,,""
2021-02-01,1335,-29,659,-13,370,11,160,-17,,,146,-10,,,""
2021-02-02,1330,-5,641,-18,360,-10,195,35,,,134,-12,,,""
2021-02-03,1250,-80,582,-59,333,-27,184,-11,,,151,17,,,""
2021-02-04,1247,-3,567,-15,324,-9,199,15,,,157,6,,,""
2021-02-05,1215,-32,545,-22,319,-5,195,-4,,,156,-1,,,""
2021-02-06,1204,-11,545,0,304,-15,195,0,,,160,4,,,""
2021-02-07,1206,2,548,3,287,-17,197,2,,,174,14,,,""
2021-02-08,1157,-49,536,-12,275,-12,189,-8,,,157,-17,,,""
2021-02-09,1048,-109,475,-61,254,-21,164,-25,,,155,-2,,,""
2021-02-10,1022,-26,475,0,223,-31,163,-1,,,161,6,,,""
2021-02-11,1003,-19,461,-14,207,-16,165,2,,,170,9,,,""
2021-02-12,1005,2,464,3,208,1,151,-14,,,182,12,,,""
2021-02-13,846,-159,403,-61,196,-12,101,-50,,,146,-36,,,""
2021-02-14,832,-14,418,15,178,-18,108,7,,,128,-18,,,""
2021-02-15,825,-7,426,8,165,-13,106,-2,,,128,0,,,""
2021-02-16,779,-46,401,-25,152,-13,121,15,,,105,-23,,,""
