date,相談件数,一般相談,陽性数,相談件数累計,一般相談累計,陽性数累計
2020-02-13,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0
2020-02-15,12,12,0,12,12,0
2020-02-16,1,1,0,13,13,0
2020-02-17,0,0,0,13,13,0
2020-02-18,0,0,0,13,13,0
2020-02-19,0,0,0,13,13,0
2020-02-20,0,0,0,13,13,0
2020-02-21,0,0,0,13,13,0
2020-02-22,20,9,0,33,22,0
2020-02-23,25,6,0,58,28,0
2020-02-24,0,0,0,58,28,0
2020-02-25,0,0,0,58,28,0
2020-02-26,50,67,0,108,95,0
2020-02-27,62,50,0,170,145,0
2020-02-28,66,57,0,236,202,0
2020-02-29,33,17,0,269,219,0
2020-03-01,20,8,0,289,227,0
2020-03-02,79,69,0,368,296,0
2020-03-03,0,0,0,368,296,0
2020-03-04,0,0,0,368,296,0
2020-03-05,0,0,0,368,296,0
2020-03-06,22,40,0,390,336,0
2020-03-07,72,3,0,462,339,0
2020-03-08,54,6,0,516,345,0
2020-03-09,49,65,0,565,410,0
2020-03-10,22,44,0,587,454,0
2020-03-11,72,41,0,659,495,0
2020-03-12,0,0,0,659,495,0
2020-03-13,45,45,0,704,540,0
2020-03-14,20,9,0,724,549,0
2020-03-15,22,9,0,746,558,0
2020-03-16,50,51,0,796,609,0
2020-03-17,43,33,0,839,642,0
2020-03-18,45,42,0,884,684,0
2020-03-19,0,0,0,884,684,0
2020-03-20,10,10,0,894,694,0
2020-03-21,18,13,0,912,707,0
2020-03-22,16,11,0,928,718,0
2020-03-23,44,59,0,972,777,0
2020-03-24,49,58,0,1021,835,0
2020-03-25,56,38,0,1077,873,0
2020-03-26,62,54,0,1139,927,0
2020-03-27,88,88,0,1227,1015,0
2020-03-28,46,15,0,1273,1030,0
2020-03-29,32,7,0,1305,1037,0
2020-03-30,126,66,0,1431,1103,0
2020-03-31,106,78,0,1537,1181,0
2020-04-01,134,87,0,1671,1268,0
2020-04-02,144,128,0,1815,1396,0
2020-04-03,117,131,0,1932,1527,0
2020-04-04,73,30,0,2005,1557,0
2020-04-05,64,35,0,2069,1592,0
2020-04-06,200,136,0,2269,1728,0
2020-04-07,147,148,0,2416,1876,0
2020-04-08,140,171,0,2556,2047,0
2020-04-09,169,148,0,2725,2195,0
2020-04-10,192,147,0,2917,2342,0
2020-04-11,74,26,0,2991,2368,0
2020-04-12,77,48,0,3068,2416,0
2020-04-13,314,117,0,3382,2533,0
2020-04-14,174,144,0,3556,2677,0
2020-04-15,178,115,0,3734,2792,0
2020-04-16,198,211,0,3932,3003,0
2020-04-17,223,167,0,4155,3170,0
2020-04-18,55,40,0,4210,3210,0
2020-04-19,63,24,0,4273,3234,0
2020-04-20,271,158,0,4544,3392,0
2020-04-21,161,95,0,4705,3487,0
2020-04-22,155,97,0,4860,3584,0
2020-04-23,132,133,0,4992,3717,0
2020-04-24,186,194,0,5178,3911,0
2020-04-25,58,36,0,5236,3947,0
2020-04-26,39,27,0,5275,3974,0
2020-04-27,204,127,0,5479,4101,0
2020-04-28,148,101,0,5627,4202,0
2020-04-29,35,24,0,5662,4226,0
2020-04-30,134,89,0,5796,4315,0
2020-05-01,114,67,0,5910,4382,0
2020-05-02,52,26,0,5962,4408,0
2020-05-03,63,15,0,6025,4423,0
2020-05-04,52,16,0,6077,4439,0
2020-05-05,49,21,0,6126,4460,0
2020-05-06,74,43,0,6200,4503,0
2020-05-07,162,52,0,6362,4555,0
2020-05-08,110,61,0,6472,4616,0
2020-05-09,65,9,0,6537,4625,0
2020-05-10,37,12,0,6574,4637,0
2020-05-11,141,73,0,6715,4710,0
2020-05-12,83,40,0,6798,4750,0
2020-05-13,82,34,0,6880,4784,0
2020-05-14,100,66,0,6980,4850,0
2020-05-15,91,52,0,7071,4902,0
2020-05-16,47,13,0,7118,4915,0
2020-05-17,38,12,0,7156,4927,0
2020-05-18,96,38,0,7252,4965,0
2020-05-19,75,42,0,7327,5007,0
2020-05-20,44,37,0,7371,5044,0
2020-05-21,58,30,0,7429,5074,0
2020-05-22,57,40,0,7486,5114,0
2020-05-23,46,16,0,7532,5130,0
2020-05-24,26,14,0,7558,5144,0
2020-05-25,92,34,0,7650,5178,0
2020-05-26,61,39,0,7711,5217,0
2020-05-27,72,45,0,7783,5262,0
2020-05-28,56,36,0,7839,5298,0
2020-05-29,55,40,0,7894,5338,0
2020-05-30,27,12,0,7921,5350,0
2020-05-31,42,15,0,7963,5365,0
2020-06-01,79,49,0,8042,5414,0
2020-06-02,64,44,0,8106,5458,0
2020-06-03,71,39,0,8177,5497,0
2020-06-04,54,32,0,8231,5529,0
2020-06-05,65,33,0,8296,5562,0
2020-06-06,28,12,0,8324,5574,0
2020-06-07,48,10,0,8372,5584,0
2020-06-08,68,46,0,8440,5630,0
2020-06-09,57,26,0,8497,5656,0
2020-06-10,61,22,0,8558,5678,0
2020-06-11,42,25,0,8600,5703,0
2020-06-12,44,17,0,8644,5720,0
2020-06-13,28,11,0,8672,5731,0
2020-06-14,28,10,0,8700,5741,0
2020-06-15,57,28,0,8757,5769,0
2020-06-16,42,30,0,8799,5799,0
2020-06-17,48,21,0,8847,5820,0
2020-06-18,38,13,0,8885,5833,0
2020-06-19,31,19,0,8916,5852,0
2020-06-20,26,3,0,8942,5855,0
2020-06-21,26,5,0,8968,5860,0
2020-06-22,52,12,0,9020,5872,0
2020-06-23,30,15,0,9050,5887,0
2020-06-24,47,14,0,9097,5901,0
2020-06-25,36,18,0,9133,5919,0
2020-06-26,28,19,0,9161,5938,0
2020-06-27,26,9,0,9187,5947,0
2020-06-28,39,6,0,9226,5953,0
2020-06-29,44,26,0,9270,5979,0
2020-06-30,44,28,0,9314,6007,0
2020-07-01,44,27,0,9358,6034,0
2020-07-02,40,24,0,9398,6058,0
2020-07-03,37,30,0,9435,6088,0
2020-07-04,22,13,0,9457,6101,0
2020-07-05,16,5,0,9473,6106,0
2020-07-06,60,27,0,9533,6133,0
2020-07-07,43,27,0,9576,6160,0
2020-07-08,39,23,0,9615,6183,0
2020-07-09,35,27,0,9650,6210,0
2020-07-10,46,33,0,9696,6243,0
2020-07-11,39,11,0,9735,6254,0
2020-07-12,26,9,0,9761,6263,0
2020-07-13,66,47,0,9827,6310,0
2020-07-14,44,30,0,9871,6340,0
2020-07-15,61,44,0,9932,6384,0
2020-07-16,41,40,0,9973,6424,0
2020-07-17,67,36,0,10040,6460,0
2020-07-18,47,13,0,10087,6473,0
2020-07-19,38,11,0,10125,6484,0
2020-07-20,102,56,0,10227,6540,0
2020-07-21,68,43,0,10295,6583,0
2020-07-22,51,38,0,10346,6621,0
2020-07-23,33,21,0,10379,6642,0
2020-07-24,57,18,0,10436,6660,0
2020-07-25,58,17,0,10494,6677,0
2020-07-26,52,11,0,10546,6688,0
2020-07-27,103,52,0,10649,6740,0
2020-07-28,60,48,0,10709,6788,0
2020-07-29,84,94,2,10793,6882,2
2020-07-30,102,175,1,10895,7057,3
2020-07-31,135,95,1,11030,7152,4
2020-08-01,108,65,0,11138,7217,4
2020-08-02,114,26,0,11252,7243,4
2020-08-03,180,107,0,11432,7350,4
2020-08-04,146,69,0,11578,7419,4
2020-08-05,0,0,1,11578,7419,5
2020-08-06,0,0,1,11578,7419,6
2020-08-07,0,0,1,11578,7419,7
2020-08-08,0,0,0,11578,7419,7
2020-08-09,0,0,0,11578,7419,7
2020-08-10,0,0,0,11578,7419,7
2020-08-11,0,0,0,11578,7419,7
2020-08-12,0,0,0,11578,7419,7
2020-08-13,0,0,1,11578,7419,8
2020-08-14,0,0,0,11578,7419,8
2020-08-15,0,0,0,11578,7419,8
2020-08-16,0,0,1,11578,7419,9
2020-08-17,0,0,0,11578,7419,9
2020-08-18,0,0,0,11578,7419,9
2020-08-19,0,0,0,11578,7419,9
2020-08-20,0,0,2,11578,7419,11
2020-08-21,0,0,0,11578,7419,11
2020-08-22,0,0,0,11578,7419,11
2020-08-23,0,0,1,11578,7419,12
2020-08-24,0,0,0,11578,7419,12
2020-08-25,0,0,1,11578,7419,13
2020-08-26,0,0,6,11578,7419,19
2020-08-27,0,0,0,11578,7419,19
2020-08-28,0,0,0,11578,7419,19
2020-08-29,0,0,0,11578,7419,19
2020-08-30,0,0,0,11578,7419,19
2020-08-31,0,0,0,11578,7419,19
2020-09-01,0,0,3,11578,7419,22
2020-09-02,0,0,0,11578,7419,22
2020-09-03,0,0,0,11578,7419,22
2020-09-04,0,0,1,11578,7419,23
2020-09-05,0,0,0,11578,7419,23
2020-09-06,0,0,0,11578,7419,23
2020-09-07,0,0,0,11578,7419,23
2020-09-08,0,0,0,11578,7419,23
2020-09-09,0,0,0,11578,7419,23
2020-09-10,0,0,0,11578,7419,23
2020-09-11,0,0,0,11578,7419,23
2020-09-12,0,0,0,11578,7419,23
2020-09-13,0,0,0,11578,7419,23
2020-09-14,0,0,0,11578,7419,23
2020-09-15,0,0,0,11578,7419,23
2020-09-16,0,0,0,11578,7419,23
2020-09-17,0,0,0,11578,7419,23
2020-09-18,0,0,0,11578,7419,23
2020-09-19,0,0,0,11578,7419,23
2020-09-20,0,0,0,11578,7419,23
2020-09-21,0,0,0,11578,7419,23
2020-09-22,0,0,0,11578,7419,23
2020-09-23,0,0,0,11578,7419,23
2020-09-24,0,0,0,11578,7419,23
2020-09-25,0,0,0,11578,7419,23
2020-09-26,0,0,0,11578,7419,23
2020-09-27,0,0,0,11578,7419,23
2020-09-28,0,0,0,11578,7419,23
2020-09-29,0,0,0,11578,7419,23
2020-09-30,0,0,0,11578,7419,23
2020-10-01,0,0,0,11578,7419,23
2020-10-02,0,0,0,11578,7419,23
2020-10-03,0,0,1,11578,7419,24
2020-10-04,0,0,0,11578,7419,24
2020-10-05,0,0,0,11578,7419,24
2020-10-06,0,0,0,11578,7419,24
2020-10-07,0,0,0,11578,7419,24
2020-10-08,0,0,0,11578,7419,24
2020-10-09,0,0,0,11578,7419,24
2020-10-10,0,0,0,11578,7419,24
2020-10-11,0,0,0,11578,7419,24
2020-10-12,0,0,0,11578,7419,24
2020-10-13,0,0,1,11578,7419,25
2020-10-14,0,0,0,11578,7419,25
2020-10-15,0,0,1,11578,7419,26
2020-10-16,0,0,0,11578,7419,26
2020-10-17,0,0,0,11578,7419,26
2020-10-18,0,0,0,11578,7419,26
2020-10-19,0,0,0,11578,7419,26
2020-10-20,0,0,0,11578,7419,26
2020-10-21,0,0,0,11578,7419,26
2020-10-22,0,0,0,11578,7419,26
2020-10-23,0,0,1,11578,7419,27
2020-10-24,0,0,0,11578,7419,27
2020-10-25,0,0,0,11578,7419,27
2020-10-26,0,0,0,11578,7419,27
2020-10-27,0,0,0,11578,7419,27
2020-10-28,0,0,0,11578,7419,27
2020-10-29,0,0,0,11578,7419,27
2020-10-30,0,0,0,11578,7419,27
2020-10-31,0,0,0,11578,7419,27
2020-11-01,0,0,0,11578,7419,27
2020-11-02,0,0,0,11578,7419,27
2020-11-03,0,0,1,11578,7419,28
