name,20200115,20200116,20200124,20200125,20200126,20200128,20200129,20200130,20200131,20200201,20200202,20200203,20200204,20200205,20200206,20200207,20200208,20200209,20200210,20200211,20200212,20200213,20200214,20200215,20200216,20200217,20200218,20200219,20200220,20200221
北海道,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,2,1,3
青森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岩手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秋田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茨城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栃木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
千葉,,,,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,1,
東京,,,1,1,,,,1,,,,,,,,,,,,,,1,2,8,5,,3,3,,
神奈川,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,2,
新潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
福井,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岐阜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛知,,,,,1,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,
三重,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
滋賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京都,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
大阪,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奈良,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
和歌山,,,,,,,,,,,,,,,,,,,,,,1,1,3,,4,3,,,
鳥取,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島根,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
岡山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
広島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徳島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愛媛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高知,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
佐賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
長崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
熊本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宮崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿児島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沖縄,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,
ダイアモンド・プリンセス号,,,,,,,,,,,,,,10,10,41,3,6,65,,39,44,,67,70,99,88,79,13,
チャーター便,,,,,,,,3,2,3,,,1,,,,1,,,2,,,1,,,,,1,,
検疫職員,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,2,